Registro,Espécie,Data ,Fase,Pacela,N° rede,Sexo,Idade,Horário,Peso,Antebraço,C. Reprodutiva,Destino Final,Anilha,Cor,Antebraço,Recaptura,Ectoparasitas,Amostra,Observação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sturnira lilium ,01/08/2021,1,A4,060,Fêmea,Adulto,19:00,22.5,42.1,Inativo,Liberado,1,Laranja,Direito,não,nc,nc, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sturnira lilium ,01/08/2021,1,A4,020,Fêmea,Adulto,21:00,22.5,43.4,Inativo,Liberado,2,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sturnira lilium ,02/08/2021,1,P4,030,Fêmea,Adulto,22:00,20.5,43.1,Inativo,Liberado,3,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sturnira lilium ,04/08/2021,1,N5,020,Fêmea,Adulto,19:00,20.5,42.2,Inativo,Liberado,4,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sturnira lilium ,04/08/2021,1,N5,030,Fêmea,Adulto,20:00,19.5,41.2,Inativo,Liberado,5,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sturnira lilium ,04/08/2021,1,N5,020,Fêmea,Adulto,21:00,22.5,44.1,Inativo,Liberado,6,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sturnira lilium ,05/08/2021,1,N4,150,Fêmea,Adulto,0:00,22.5,44.0,Inativo,Liberado,7,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Desmodus rotundus,06/08/2021,1,P6,080,Macho,Adulto,22:00,44.5,62.1,Escrotado,Liberado,1,Laranja,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chrotopterus auritus,06/08/2021,1,P6,150,Macho,Adulto,22:00,>100,81.1,Inativo,Liberado,2,Laranja,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Desmodus rotundus,07/08/2021,1,A5,130,Macho,Adulto,20:00,45,63.2,Inativo,Liberado,2,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Desmodus rotundus,07/08/2021,1,A5,000,Macho,Adulto,20:00,51,64.4,Escrotado,Liberado,3,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
